,GP,GS,MIN,FGM,FGA,FG%,3PTM,3PTA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
Buddy Hield,322.0,200.0,27.8,5.9,13.4,44.0,2.8,6.8,41.0,1.3,1.5,86.5,0.8,3.4,4.2,2.2,0.3,0.8,2.0,1.7,15.9
Richaun Holmes,276.0,68.0,19.0,3.5,5.9,58.6,0.1,0.6,25.7,1.4,2.0,72.9,1.7,3.4,5.1,0.9,1.0,0.6,2.6,0.8,8.5
Justin James,37.0,0.0,6.4,0.9,2.3,41.7,0.2,0.8,31.0,0.3,0.6,47.6,0.2,0.7,0.9,0.5,0.2,0.2,0.5,0.2,2.4
DaQuan Jeffries,13.0,0.0,10.8,1.5,3.1,50.0,0.4,1.4,27.8,0.4,0.5,83.3,0.2,1.2,1.4,0.5,0.1,0.3,1.5,0.2,3.8
Cory Joseph,606.0,121.0,21.9,2.7,6.1,44.0,0.5,1.5,33.1,1.0,1.3,77.0,0.5,2.1,2.6,2.9,0.2,0.8,1.5,1.0,6.9
Chimezie Metu,47.0,0.0,5.3,0.9,2.1,43.0,0.0,0.1,0.0,0.5,0.6,76.7,0.4,1.0,1.5,0.5,0.2,0.2,0.4,0.5,2.3
Jabari Parker,285.0,190.0,29.0,6.0,12.2,49.3,0.7,2.2,32.4,2.2,2.9,74.0,1.5,4.2,5.7,2.1,0.4,0.9,2.1,1.8,14.9
Hassan Whiteside,415.0,320.0,26.5,5.7,9.8,58.2,0.0,0.1,32.0,2.2,3.7,60.6,3.3,8.3,11.7,0.7,2.4,0.6,2.6,1.6,13.6
Bogdan Bogdanovic,215.0,98.0,28.2,5.0,11.5,43.3,2.1,5.5,37.5,1.5,1.9,80.8,0.5,2.8,3.3,3.5,0.2,1.0,2.1,1.6,13.5
Clint Capela,338.0,278.0,26.0,5.3,8.3,63.4,0.0,0.0,0.0,1.6,3.1,52.2,3.3,6.5,9.7,1.0,1.5,0.7,2.5,1.2,12.2
John Collins,182.0,132.0,28.2,6.4,11.3,57.0,0.7,2.0,36.5,2.6,3.4,76.3,2.9,5.9,8.8,1.6,1.1,0.6,3.2,1.7,16.2
Bruno Fernando,62.0,13.0,12.5,1.7,3.4,51.4,0.1,0.6,13.2,0.5,0.9,57.4,1.2,2.5,3.7,0.9,0.3,0.3,1.8,0.8,4.0
Danilo Gallinari,613.0,542.0,30.9,4.9,11.4,42.7,2.0,5.2,38.1,4.4,5.0,87.3,0.7,4.2,4.9,2.0,0.4,0.8,1.8,1.3,16.1
Brandon Goodwin,54.0,1.0,10.0,1.6,4.2,38.4,0.6,1.9,30.7,0.7,0.8,86.7,0.2,1.2,1.5,1.4,0.1,0.2,1.0,0.6,4.6
Solomon Hill,370.0,172.0,21.9,2.0,5.1,39.4,0.8,2.4,33.7,1.0,1.3,80.1,0.7,2.5,3.2,1.6,0.2,0.7,1.8,0.9,5.8
Kevin Huerter,137.0,107.0,28.9,4.0,9.6,41.8,2.0,5.2,38.6,0.7,0.9,78.7,0.7,2.9,3.6,3.2,0.4,0.9,2.3,1.5,10.8
Nathan Knight,3.0,0.0,5.0,1.3,2.3,57.1,0.7,1.0,66.7,1.3,1.7,80.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,4.7
Skylar Mays,2.0,0.0,3.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
Cam Reddish,64.0,40.0,26.9,3.7,9.5,38.4,1.4,4.2,33.6,1.8,2.3,80.6,0.6,3.2,3.8,1.5,0.5,1.1,2.3,1.6,10.5
Rajon Rondo,875.0,729.0,31.0,4.3,9.3,45.8,0.4,1.4,31.7,1.2,2.0,60.6,1.0,3.7,4.7,8.3,0.1,1.7,2.2,2.8,10.2
Tony Snell,501.0,275.0,22.5,2.4,5.5,42.8,1.2,3.2,38.5,0.5,0.6,83.8,0.3,2.0,2.3,1.2,0.2,0.5,1.4,0.6,6.5
Trae Young,147.0,147.0,32.8,7.6,17.7,42.9,2.5,7.4,34.4,6.0,7.1,84.9,0.7,3.2,4.0,8.6,0.2,0.9,1.7,4.2,23.8
LaMelo Ball,6.0,0.0,23.0,4.0,9.5,42.1,1.8,4.3,42.3,1.7,2.3,71.4,1.5,2.8,4.3,4.2,0.5,1.8,2.7,2.3,11.5
Bismack Biyombo,642.0,276.0,20.3,2.0,3.8,52.2,0.0,0.0,0.0,1.3,2.2,57.3,2.0,4.3,6.3,0.6,1.3,0.2,2.2,0.9,5.2
Miles Bridges,151.0,89.0,25.5,3.8,8.7,44.0,1.2,3.5,33.0,1.1,1.4,79.2,1.1,3.7,4.8,1.5,0.7,0.7,1.7,1.0,9.9
Gordon Hayward,647.0,485.0,30.9,5.3,11.7,45.1,1.3,3.6,36.6,3.5,4.2,82.4,0.7,3.7,4.4,3.5,0.4,1.0,1.8,2.0,15.3
Caleb Martin,23.0,1.0,17.1,2.3,4.9,46.4,1.0,2.0,51.1,0.9,1.1,76.9,0.5,1.7,2.2,1.3,0.3,0.8,1.6,0.7,6.4
Cody Martin,53.0,3.0,18.5,1.8,4.2,43.7,0.3,1.5,22.2,0.8,1.3,64.2,0.8,2.5,3.3,2.0,0.2,0.8,1.5,0.9,4.8
Jalen McDaniels,22.0,0.0,16.2,1.9,4.0,47.7,0.5,1.3,35.7,0.9,1.2,76.9,0.8,2.8,3.6,0.8,0.1,0.4,2.0,0.9,5.2
Malik Monk,191.0,1.0,17.2,3.1,7.8,39.5,1.3,4.1,32.2,1.1,1.3,85.0,0.3,1.6,1.9,1.7,0.2,0.4,1.3,1.1,8.6
Nick Richards,2.0,0.0,2.5,0.5,0.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,1.0
Terry Rozier,341.0,99.0,22.8,3.5,8.9,39.7,1.6,4.2,37.4,1.3,1.6,81.2,0.6,3.1,3.7,2.7,0.2,0.8,1.3,1.1,9.9
Cody Zeller,420.0,253.0,22.9,3.2,6.3,51.3,0.1,0.3,24.3,2.1,2.9,73.0,2.0,4.0,5.9,1.4,0.7,0.7,2.6,1.1,8.6
Precious Achiuwa,5.0,0.0,15.0,3.2,5.0,64.0,0.0,0.0,0.0,1.4,2.8,50.0,1.4,2.8,4.2,0.6,0.4,0.2,2.6,1.4,7.8
Bam Adebayo,228.0,124.0,25.7,4.1,7.3,55.6,0.0,0.2,13.9,2.6,3.6,71.4,2.0,5.6,7.7,3.0,0.9,0.8,2.3,1.8,10.7
Avery Bradley,575.0,494.0,28.2,4.7,10.8,43.7,1.3,3.6,36.5,1.0,1.3,78.0,0.6,2.3,2.9,1.8,0.2,1.0,2.2,1.4,11.8
Jimmy Butler,584.0,479.0,33.0,5.5,12.1,45.3,0.9,2.6,33.3,5.1,6.1,83.5,1.5,3.6,5.1,3.7,0.5,1.6,1.4,1.5,17.0
Goran Dragic,822.0,511.0,28.0,5.1,11.0,46.4,1.2,3.3,36.2,2.5,3.3,76.4,0.7,2.3,3.1,4.8,0.2,1.0,2.3,2.3,13.9
Maurice Harkless,542.0,327.0,22.9,2.8,5.9,47.8,0.6,1.8,32.5,0.8,1.4,61.2,1.2,2.5,3.7,0.9,0.7,1.0,2.0,0.9,7.1
Udonis Haslem,858.0,500.0,25.1,3.1,6.3,48.9,0.0,0.1,8.6,1.4,1.9,75.5,1.9,4.8,6.7,0.8,0.3,0.5,2.4,0.9,7.6
Tyler Herro,60.0,13.0,27.9,5.0,11.6,43.3,2.1,5.4,38.5,1.6,1.8,86.4,0.3,3.9,4.2,2.4,0.2,0.6,1.4,1.7,13.7
Andre Iguodala,1133.0,781.0,33.1,4.3,9.3,46.5,0.9,2.7,33.3,2.5,3.5,70.9,0.9,4.1,5.1,4.3,0.5,1.5,1.8,1.9,12.0
Meyers Leonard,446.0,93.0,16.0,2.1,4.5,48.2,0.7,1.9,39.1,0.6,0.7,81.1,0.7,3.2,3.9,0.9,0.3,0.2,2.2,0.7,5.6
Kendrick Nunn,71.0,67.0,28.4,5.7,13.2,43.5,1.9,5.6,34.7,1.2,1.5,85.4,0.3,2.3,2.6,3.2,0.2,0.8,2.2,1.6,14.7
KZ Okpala,7.0,0.0,7.7,0.6,1.3,44.4,0.0,0.6,0.0,0.3,0.6,50.0,0.3,1.0,1.3,0.1,0.1,0.4,0.4,0.1,1.4
Kelly Olynyk,504.0,103.0,21.3,3.5,7.4,47.5,1.1,3.1,37.2,1.5,1.9,77.4,1.2,3.7,4.8,1.9,0.5,0.7,2.8,1.4,9.7
Duncan Robinson,93.0,74.0,26.6,3.8,8.3,46.3,3.2,7.3,43.5,0.9,1.0,89.9,0.1,2.8,2.9,1.2,0.2,0.5,2.3,0.9,11.7
Chris Silva,46.0,0.0,7.7,1.0,1.7,61.5,0.0,0.1,0.0,0.8,1.2,68.4,1.3,1.4,2.7,0.5,0.5,0.2,1.9,0.7,2.9
Max Strus,3.0,0.0,6.0,1.7,2.7,62.5,0.3,1.3,25.0,0.3,0.3,100.0,0.3,0.0,0.3,0.3,0.0,0.0,0.3,0.0,4.0
Gabe Vincent,10.0,0.0,9.8,1.0,4.3,23.3,0.8,3.2,25.0,0.1,0.1,100.0,0.0,0.7,0.7,0.8,0.0,0.5,1.0,0.1,2.9
Cole Anthony,6.0,0.0,19.8,2.8,9.2,30.9,0.5,2.5,20.0,2.5,2.5,100.0,1.5,3.5,5.0,3.3,0.0,0.5,1.7,0.8,8.7
Dwayne Bacon,141.0,36.0,16.3,2.1,5.2,40.5,0.5,1.5,34.1,0.7,0.9,72.1,0.2,2.2,2.4,1.0,0.1,0.4,1.3,0.6,5.4
Mo Bamba,109.0,1.0,15.1,2.3,4.9,47.1,0.5,1.6,32.8,0.6,1.0,62.4,1.5,3.4,4.9,0.7,1.4,0.3,2.0,0.8,5.7
Khem Birch,146.0,25.0,15.4,1.7,3.1,54.5,0.0,0.0,0.0,1.2,1.8,68.8,1.7,2.5,4.2,0.9,0.5,0.4,1.6,0.5,4.6
Jordan Bone,11.0,0.0,5.6,0.6,2.2,29.2,0.2,1.0,18.2,0.0,0.0,0.0,0.1,0.5,0.5,0.8,0.0,0.1,0.5,0.2,1.5
Gary Clark,96.0,7.0,13.0,1.1,3.0,36.2,0.8,2.6,31.5,0.2,0.2,94.4,0.7,1.8,2.5,0.4,0.5,0.3,1.0,0.2,3.2
Evan Fournier,528.0,386.0,28.4,5.1,11.3,45.0,1.8,4.8,37.5,2.2,2.7,80.8,0.4,2.3,2.7,2.6,0.1,0.9,2.4,1.6,14.1
Markelle Fultz,111.0,81.0,25.7,4.6,10.2,44.8,0.4,1.5,26.7,1.5,2.1,69.4,0.7,2.6,3.3,4.6,0.2,1.1,2.1,1.8,11.0
Aaron Gordon,409.0,320.0,28.5,4.8,10.7,44.8,1.1,3.4,31.6,2.0,2.9,70.0,1.6,4.8,6.4,2.4,0.6,0.8,2.0,1.4,12.8
Jonathan Isaac,136.0,106.0,25.8,3.5,8.0,43.5,1.0,3.0,33.0,1.4,1.7,79.7,1.3,4.2,5.4,1.1,1.5,1.1,2.0,1.1,9.3
Karim Mane,1.0,0.0,19.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0
Chuma Okeke,5.0,0.0,18.2,1.0,2.8,35.7,0.4,1.4,28.6,0.6,1.2,50.0,1.0,1.6,2.6,1.6,0.2,0.6,0.4,0.6,3.0
Terrence Ross,566.0,176.0,24.7,4.1,9.7,42.1,1.9,5.2,37.1,1.1,1.3,83.1,0.4,2.5,2.8,1.1,0.3,0.9,1.7,0.9,11.1
Nikola Vucevic,604.0,543.0,30.3,7.0,14.0,49.9,0.5,1.4,34.0,1.6,2.2,74.5,2.7,7.6,10.2,2.6,0.9,0.9,2.5,1.7,16.2
Deni Avdija,7.0,7.0,24.7,2.6,5.3,48.6,1.6,3.3,47.8,0.4,0.7,60.0,0.4,4.1,4.6,2.4,0.3,1.3,2.7,0.7,7.1
Bradley Beal,552.0,518.0,34.6,7.7,17.0,45.2,2.3,6.0,37.9,3.5,4.3,80.8,0.8,3.2,4.0,4.0,0.4,1.1,2.2,2.3,21.1
Davis Bertans,281.0,32.0,18.7,2.7,6.1,43.8,1.9,4.6,40.8,0.9,1.0,85.0,0.4,2.4,2.8,1.1,0.4,0.4,1.6,0.6,8.1
Isaac Bonga,93.0,53.0,15.5,1.4,3.0,46.8,0.3,0.9,34.1,0.8,1.1,77.2,0.9,1.9,2.8,1.0,0.3,0.6,1.9,0.7,4.0
Thomas Bryant,140.0,96.0,20.9,4.4,7.3,60.1,0.6,1.6,36.7,1.5,2.0,74.7,1.6,4.4,6.1,1.4,0.9,0.4,1.9,0.9,10.8
Anthony Gill,2.0,0.0,4.0,0.5,0.5,100.0,0.5,0.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.5
Rui Hachimura,51.0,51.0,29.8,5.3,11.2,46.9,0.5,1.8,29.3,2.5,3.1,81.6,1.6,4.4,6.0,1.9,0.2,0.8,2.2,1.1,13.6
Robin Lopez,839.0,585.0,22.3,3.7,6.9,52.9,0.1,0.2,30.0,1.4,1.8,74.7,2.3,2.8,5.0,0.8,1.2,0.2,2.0,1.1,8.7
Garrison Mathews,20.0,0.0,11.9,1.3,3.0,41.7,1.0,2.5,40.0,1.6,1.7,91.2,0.3,1.0,1.3,0.6,0.1,0.4,1.6,0.4,5.1
Raul Neto,260.0,59.0,13.9,1.9,4.2,45.1,0.6,1.6,38.4,0.6,0.8,78.9,0.2,1.1,1.3,1.9,0.1,0.5,1.2,0.9,5.0
Anzejs Pasecniks,28.0,0.0,15.8,2.2,4.2,52.1,0.0,0.1,0.0,1.2,2.1,58.6,1.5,2.3,3.9,0.7,0.4,0.3,2.8,1.0,5.6
Jerome Robinson,100.0,6.0,13.6,1.6,4.4,37.7,0.7,2.2,31.9,0.5,0.7,71.0,0.2,1.6,1.8,1.1,0.2,0.4,1.7,0.7,4.5
Ish Smith,617.0,165.0,20.1,3.3,7.7,42.9,0.4,1.3,32.0,0.8,1.1,68.1,0.4,2.1,2.5,3.9,0.2,0.7,1.3,1.3,7.8
Moritz Wagner,90.0,10.0,14.4,2.4,4.9,49.8,0.5,1.8,30.4,1.3,1.6,81.8,0.8,2.6,3.4,0.9,0.4,0.4,2.4,1.2,6.8
Russell Westbrook,883.0,865.0,34.6,8.2,18.8,43.7,1.1,3.7,30.4,5.7,7.1,79.9,1.7,5.4,7.1,8.3,0.3,1.7,2.6,4.1,23.2
Jalen Brunson,136.0,55.0,20.1,3.5,7.4,47.0,0.8,2.3,35.1,1.2,1.6,76.8,0.3,2.0,2.4,3.2,0.1,0.5,1.5,1.2,9.0
Trey Burke,400.0,129.0,22.9,4.1,9.9,41.0,1.2,3.5,34.5,1.2,1.5,80.1,0.4,1.6,2.0,3.5,0.1,0.6,1.4,1.3,10.5
Luka Doncic,138.0,138.0,32.8,8.2,18.4,44.5,2.5,7.9,31.7,5.8,7.9,73.9,1.2,7.3,8.5,7.2,0.3,1.0,2.2,3.8,24.7
Josh Green,5.0,0.0,6.0,0.4,0.8,50.0,0.0,0.0,0.0,0.4,0.4,100.0,0.4,0.6,1.0,0.4,0.0,0.0,0.0,0.4,1.2
Nate Hinton,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wes Iwundu,185.0,46.0,17.4,1.7,4.0,42.0,0.4,1.1,31.9,1.1,1.3,79.1,0.5,1.9,2.4,1.0,0.3,0.5,1.5,0.5,4.8
James Johnson,640.0,220.0,20.6,3.1,6.6,47.6,0.5,1.6,31.0,1.2,1.7,69.2,0.8,2.8,3.6,2.1,0.9,0.8,2.2,1.5,7.9
Maxi Kleber,223.0,74.0,21.3,2.6,5.5,46.6,1.1,3.1,35.9,0.9,1.1,80.8,1.2,3.1,4.4,1.0,1.0,0.4,2.0,0.7,7.2
Boban Marjanovic,234.0,22.0,9.7,2.3,4.0,58.1,0.0,0.1,27.6,1.5,2.0,76.7,1.4,2.6,4.0,0.5,0.4,0.2,1.2,0.7,6.2
Dwight Powell,377.0,94.0,18.8,2.8,5.1,56.3,0.3,0.9,29.4,1.7,2.3,73.8,1.5,3.1,4.6,1.0,0.5,0.7,2.1,0.7,7.7
Josh Richardson,320.0,249.0,30.7,4.5,10.7,42.6,1.6,4.4,36.3,1.7,2.1,81.9,0.7,2.5,3.2,2.9,0.7,1.1,2.5,1.5,12.4
Tyrell Terry,4.0,0.0,3.5,0.3,1.3,20.0,0.0,0.8,0.0,0.0,0.3,0.0,0.0,0.3,0.3,0.5,0.0,0.3,0.3,0.0,0.5
Sterling Brown,168.0,12.0,15.9,2.0,4.7,42.4,0.8,2.3,35.5,0.5,0.6,77.4,0.5,2.6,3.1,1.0,0.2,0.5,1.4,0.7,5.3
Bruno Caboclo,101.0,20.0,12.7,1.6,3.9,39.7,0.6,2.0,31.0,0.5,0.6,84.6,0.8,1.8,2.6,0.7,0.6,0.4,1.3,0.7,4.3
Chris Clemons,33.0,0.0,8.8,1.7,4.3,40.1,1.1,3.2,34.6,0.3,0.3,90.9,0.1,0.8,0.9,0.8,0.2,0.3,0.8,0.6,4.9
DeMarcus Cousins,567.0,543.0,31.9,7.6,16.4,46.1,0.6,1.8,33.2,5.5,7.4,73.7,2.8,8.1,10.8,3.2,1.2,1.4,3.8,3.5,21.2
Eric Gordon,667.0,511.0,32.8,5.6,13.3,42.5,2.3,6.3,36.9,3.0,3.7,81.2,0.4,2.1,2.5,2.8,0.3,0.9,2.0,2.0,16.6
James Harden,836.0,623.0,34.3,7.4,16.7,44.4,2.8,7.7,36.4,7.6,8.8,85.8,0.8,4.6,5.3,6.3,0.5,1.6,2.6,3.7,25.2
Ben McLemore,439.0,257.0,23.6,3.2,7.7,42.1,1.4,3.9,36.6,1.1,1.5,77.9,0.4,2.0,2.4,1.1,0.2,0.7,2.2,1.2,9.0
David Nwaba,164.0,39.0,20.5,2.6,5.3,49.0,0.3,1.0,33.9,1.5,2.2,66.2,1.0,2.7,3.7,1.1,0.4,0.7,2.1,0.8,7.0
Brodric Thomas,2.0,0.0,9.0,0.5,2.0,25.0,0.0,1.5,0.0,1.5,2.5,60.0,0.5,1.0,1.5,2.0,0.0,0.0,2.5,1.5,2.5
John Wall,575.0,563.0,35.9,6.9,15.9,43.3,0.9,2.9,32.3,4.3,5.5,78.1,0.6,3.8,4.3,9.2,0.7,1.7,2.2,3.8,19.0
Christian Wood,117.0,18.0,16.9,3.6,6.6,54.7,0.6,1.7,36.7,2.2,3.0,72.9,1.3,3.6,5.0,0.7,0.7,0.5,1.3,1.0,10.0
Grayson Allen,81.0,6.0,15.3,2.3,5.6,41.6,1.1,3.2,35.8,1.1,1.4,80.7,0.2,1.3,1.5,1.1,0.1,0.2,1.3,0.9,7.0
Kyle Anderson,373.0,174.0,19.8,2.2,4.6,48.6,0.2,0.8,30.8,0.9,1.2,70.5,0.7,3.3,4.0,2.0,0.5,0.9,1.4,0.9,5.6
Desmond Bane,6.0,0.0,23.0,3.5,7.3,47.7,2.3,4.7,50.0,0.2,0.3,50.0,0.7,1.8,2.5,1.0,0.0,0.7,2.3,1.2,9.5
Dillon Brooks,179.0,153.0,27.8,4.8,11.6,41.8,1.5,4.2,35.6,1.8,2.3,78.2,0.8,2.4,3.1,1.8,0.3,0.9,3.3,1.6,13.0
Brandon Clarke,64.0,6.0,22.8,5.0,8.5,59.7,0.4,1.2,32.9,1.4,2.0,71.9,1.6,4.3,5.9,1.4,0.8,0.5,1.7,0.9,11.9
Gorgui Dieng,521.0,204.0,22.0,3.0,6.0,50.0,0.2,0.7,34.5,1.6,2.0,78.9,1.8,4.3,6.1,1.4,1.0,0.8,2.3,1.2,7.9
Tyus Jones,318.0,43.0,18.1,2.1,5.0,43.0,0.6,1.6,33.9,0.7,0.9,80.2,0.2,1.4,1.6,3.6,0.1,1.0,1.0,0.7,5.6
John Konchar,24.0,0.0,11.6,1.4,2.5,56.7,0.3,0.8,44.4,0.3,0.3,87.5,1.0,2.0,2.9,1.5,0.2,0.6,0.5,0.3,3.5
Sean McDermott,3.0,0.0,14.0,0.7,2.3,28.6,0.3,1.7,20.0,0.7,0.7,100.0,0.7,0.3,1.0,1.0,0.0,0.0,0.3,1.0,2.3
Ja Morant,70.0,70.0,30.8,6.8,14.2,48.1,0.9,2.7,33.5,3.6,4.7,78.0,0.8,3.0,3.8,7.2,0.3,0.9,1.7,3.2,18.2
Xavier Tillman,1.0,0.0,17.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,0.0,0.0,0.0,1.0,0.0,6.0
Jonas Valanciunas,565.0,537.0,25.3,4.9,8.8,56.2,0.1,0.4,35.7,2.4,3.1,77.9,2.6,6.3,8.9,0.9,1.0,0.4,2.8,1.6,12.5
Justise Winslow,241.0,105.0,28.4,3.6,8.5,41.7,0.8,2.3,33.7,1.2,1.8,64.6,1.0,4.3,5.4,2.7,0.4,0.9,2.5,1.5,9.0
Steven Adams,536.0,472.0,26.8,4.1,6.9,58.9,0.0,0.0,10.0,1.6,3.0,55.6,3.4,4.2,7.6,1.2,1.0,0.9,2.6,1.4,9.8
Lonzo Ball,168.0,155.0,32.3,4.1,10.6,39.0,1.9,5.7,33.9,0.6,1.2,49.0,1.2,4.9,6.1,6.5,0.6,1.5,2.2,2.7,10.8
Eric Bledsoe,637.0,475.0,27.8,5.0,11.0,45.7,1.1,3.2,33.7,3.0,3.8,79.3,0.8,3.2,4.0,4.8,0.5,1.4,2.0,2.6,14.2
Wenyen Gabriel,30.0,1.0,7.8,0.7,1.6,43.8,0.2,0.7,30.0,0.5,0.7,68.2,0.7,1.0,1.7,0.3,0.2,0.4,1.3,0.5,2.1
Josh Hart,201.0,61.0,25.4,3.0,7.0,43.0,1.5,4.2,35.2,1.1,1.5,71.1,0.7,4.2,4.9,1.4,0.4,0.9,2.1,0.9,8.6
Jaxson Hayes,70.0,14.0,16.4,2.5,3.8,66.0,0.0,0.1,25.0,1.8,2.8,65.2,1.5,2.6,4.1,0.9,0.8,0.4,2.5,0.8,6.9
Willy Hernangomez,210.0,26.0,14.3,2.7,5.1,53.0,0.1,0.4,33.0,1.4,2.0,68.2,1.9,3.5,5.4,1.0,0.4,0.4,1.6,1.1,6.9
Brandon Ingram,258.0,219.0,32.2,6.0,13.1,46.0,1.1,3.1,36.3,3.4,4.6,72.5,0.8,4.3,5.1,3.3,0.6,0.7,2.5,2.3,16.5
Nicolo Melli,65.0,8.0,16.9,2.1,5.2,41.4,1.1,3.3,32.9,0.9,1.2,74.0,0.6,2.4,3.0,1.4,0.4,0.6,2.0,0.8,6.2
JJ Redick,902.0,488.0,25.9,4.3,9.7,44.7,2.1,5.1,41.5,2.2,2.5,89.1,0.2,1.9,2.1,2.0,0.1,0.5,1.5,1.1,13.0
Sindarius Thornwell,141.0,17.0,10.7,0.9,2.1,42.0,0.2,0.6,34.6,0.6,0.9,68.3,0.3,1.1,1.3,0.6,0.2,0.5,1.2,0.5,2.6
Zion Williamson,30.0,30.0,28.4,8.5,14.7,57.7,0.2,0.5,37.5,4.7,7.5,62.8,2.8,3.8,6.6,1.9,0.4,0.8,1.9,2.5,21.9
LaMarcus Aldridge,1006.0,965.0,34.4,7.9,16.1,49.1,0.2,0.6,30.9,3.6,4.4,81.1,2.7,5.7,8.3,2.0,1.1,0.7,2.5,1.6,19.5
DeMar DeRozan,826.0,814.0,34.1,7.2,15.7,45.8,0.4,1.5,28.5,5.2,6.3,82.9,0.7,3.6,4.4,3.6,0.3,1.0,2.3,2.1,20.1
Drew Eubanks,48.0,3.0,9.2,1.3,2.2,57.5,0.0,0.0,100.0,0.7,0.9,79.1,0.7,2.0,2.8,0.5,0.6,0.2,1.1,0.6,3.3
Rudy Gay,952.0,776.0,33.1,6.5,14.2,45.5,1.0,3.0,34.6,3.1,3.9,79.9,1.4,4.5,5.9,2.2,0.8,1.2,2.4,2.2,17.1
Keldon Johnson,23.0,7.0,20.8,3.8,7.0,55.0,1.0,1.9,51.2,2.3,2.8,81.5,0.8,3.7,4.4,1.3,0.3,1.0,1.8,1.2,10.9
Tre Jones,2.0,0.0,5.0,2.0,3.5,57.1,0.0,0.0,0.0,1.5,1.5,100.0,1.5,0.0,1.5,0.5,0.0,0.0,0.0,0.0,5.5
Trey Lyles,354.0,94.0,17.9,2.8,6.4,43.3,0.9,2.6,34.1,0.9,1.3,70.6,0.8,3.4,4.2,1.1,0.3,0.4,1.4,0.8,7.4
Patty Mills,677.0,56.0,19.4,3.2,7.3,43.2,1.6,4.1,39.1,0.9,1.0,85.4,0.3,1.4,1.7,2.3,0.1,0.7,1.3,1.0,8.8
Dejounte Murray,191.0,120.0,20.6,3.4,7.6,45.1,0.3,1.0,33.9,1.2,1.6,74.2,1.0,3.8,4.8,3.1,0.3,1.2,1.8,1.6,8.3
Jakob Poeltl,285.0,49.0,16.6,2.4,3.8,63.6,0.0,0.0,50.0,0.6,1.2,52.6,2.0,2.9,4.9,1.0,1.0,0.4,2.1,0.8,5.5
Luka Samanic,5.0,1.0,11.0,1.2,4.2,28.6,0.8,2.0,40.0,0.8,1.2,66.7,0.2,1.8,2.0,1.2,0.4,0.0,1.2,0.4,4.0
Devin Vassell,5.0,0.0,16.0,1.4,4.2,33.3,0.6,1.4,42.9,0.0,0.0,0.0,0.2,2.8,3.0,1.0,0.4,1.0,1.0,0.6,3.4
Quinndary Weatherspoon,11.0,0.0,7.1,0.5,1.5,29.4,0.1,0.5,20.0,0.1,0.2,50.0,0.1,0.5,0.6,1.0,0.1,0.3,0.7,0.5,1.1
Derrick White,153.0,75.0,23.3,3.5,7.4,46.8,0.9,2.5,36.3,1.9,2.3,81.7,0.5,2.8,3.2,3.4,0.7,0.8,2.0,1.3,9.7
