,id,height,weight,age,position,jersey,salary,FLName,experience,Team,hand,GP,GS,MIN,FGM,FGA,FG%,3PTM,3PTA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
Zach LaVine,3064440,77.0,202.0,25,SG,8,19500000.0,Zach LaVine,6,Chicago Bulls,,360.0,273.0,30.8,6.4,14.3,44.7,1.8,4.9,37.3,3.1,3.8,82.1,0.5,3.2,3.6,3.6,0.3,1.0,2.2,2.6,17.8
Lauri Markkanen,4066336,84.0,238.0,23,F,24,6731508.0,Lauri Markkanen,3,Chicago Bulls,,174.0,173.0,30.5,5.7,13.2,43.2,2.2,6.2,35.9,2.6,3.1,84.6,1.2,6.3,7.6,1.3,0.6,0.7,1.9,1.5,16.2
Adam Mokoka,4349241,77.0,215.0,22,SG,20,0.0,Adam Mokoka,1,Chicago Bulls,,14.0,0.0,10.3,1.1,2.8,41.0,0.4,1.5,28.6,0.1,0.3,50.0,0.6,0.4,0.9,0.5,0.1,0.4,1.6,0.2,2.9
Tomas Satoransky,6621,79.0,212.0,29,SG,31,10000000.0,Tomas Satoransky,4,Chicago Bulls,,278.0,151.0,23.3,2.7,5.9,46.9,0.7,1.8,36.8,1.2,1.5,81.8,0.9,2.2,3.1,4.1,0.2,0.9,1.8,1.4,7.4
Garrett Temple,4023,77.0,195.0,34,SG,17,4767000.0,Garrett Temple,10,Chicago Bulls,,582.0,246.0,21.1,2.3,5.6,40.2,1.0,2.8,34.6,0.9,1.2,73.8,0.4,1.9,2.3,1.7,0.3,0.8,1.9,0.9,6.3
Denzel Valentine,2999549,77.0,218.0,27,SG,45,4642800.0,Denzel Valentine,3,Chicago Bulls,,174.0,42.0,20.8,2.9,7.3,40.4,1.6,4.2,37.1,0.3,0.5,75.9,0.4,3.2,3.6,2.0,0.1,0.7,1.9,1.0,7.8
Coby White,4395651,77.0,191.0,20,PG,0,5572680.0,Coby White,1,Chicago Bulls,,72.0,8.0,26.4,4.8,12.3,39.1,2.1,5.9,35.6,1.7,2.1,80.1,0.4,3.2,3.7,3.0,0.1,0.7,1.8,1.8,13.5
Patrick Williams,4431687,80.0,227.0,19,SF,9,7068360.0,Patrick Williams,0,Chicago Bulls,,7.0,7.0,24.9,3.6,8.0,44.6,0.7,1.9,38.5,1.7,2.1,80.0,0.4,2.9,3.3,1.0,1.1,0.6,2.1,1.7,9.6
Thaddeus Young,3244,80.0,232.0,32,PF,21,13545000.0,Thaddeus Young,13,Chicago Bulls,,968.0,687.0,30.3,5.7,11.3,49.8,0.5,1.5,33.3,1.3,2.0,67.0,2.0,3.9,5.9,1.7,0.4,1.5,2.2,1.5,13.2
Marques Bolden,4065652,83.0,250.0,22,C,24,0.0,Marques Bolden,1,Cleveland Cavaliers,,4.0,0.0,2.8,0.3,0.3,100.0,0.0,0.0,0.0,0.8,1.5,50.0,0.0,0.8,0.8,0.0,0.0,0.3,0.3,0.0,1.3
Matthew Dellavedova,2489716,75.0,204.0,30,PG,18,1620564.0,Matthew Dellavedova,7,Cleveland Cavaliers,,434.0,92.0,20.4,2.0,5.1,38.9,0.9,2.5,36.8,0.7,0.8,83.8,0.4,1.4,1.8,3.7,0.0,0.5,1.9,1.3,5.6
Damyean Dotson,2991149,77.0,205.0,26,SG,21,2000000.0,Damyean Dotson,3,Cleveland Cavaliers,,170.0,42.0,20.0,2.9,6.9,42.0,1.2,3.4,36.1,0.7,0.9,72.1,0.3,2.3,2.6,1.3,0.1,0.6,1.3,0.7,7.7
Andre Drummond,6585,83.0,279.0,27,C,3,28751775.0,Andre Drummond,8,Cleveland Cavaliers,B,605.0,554.0,31.0,6.1,11.3,54.1,0.0,0.2,14.0,2.2,4.8,46.2,4.8,9.1,13.8,1.3,1.6,1.4,3.2,2.0,14.5
Dante Exum,3102528,77.0,214.0,25,PG,1,9600000.0,Dante Exum,5,Cleveland Cavaliers,L,244.0,71.0,18.6,2.1,5.1,40.7,0.7,2.2,30.5,0.8,1.1,76.4,0.4,1.4,1.8,2.1,0.2,0.4,1.8,1.3,5.7
Darius Garland,4396907,73.0,192.0,20,PG,10,6720720.0,Darius Garland,1,Cleveland Cavaliers,,65.0,65.0,31.4,4.9,12.1,40.7,1.8,5.0,36.6,1.1,1.2,87.7,0.5,1.6,2.0,4.1,0.1,0.8,1.7,2.6,12.8
Kevin Love,3449,80.0,247.0,32,PF,0,31258256.0,Kevin Love,12,Cleveland Cavaliers,,715.0,632.0,32.0,6.0,13.6,44.2,1.7,4.6,37.0,4.5,5.4,82.8,2.8,8.4,11.1,2.4,0.5,0.7,2.1,2.0,18.2
Thon Maker,4017843,84.0,221.0,23,C,14,1620564.0,Thon Maker,4,Cleveland Cavaliers,,258.0,65.0,13.8,1.6,3.7,43.5,0.5,1.5,32.9,0.9,1.3,67.6,0.8,1.9,2.8,0.6,0.7,0.4,1.8,0.5,4.6
JaVale McGee,3452,84.0,270.0,32,C,6,4200000.0,JaVale McGee,12,Cleveland Cavaliers,,707.0,317.0,17.3,3.4,5.9,57.4,0.0,0.1,20.5,1.1,1.9,59.0,1.9,3.3,5.2,0.4,1.5,0.4,2.2,1.0,7.9
Isaac Okoro,4432822,77.0,225.0,19,SG,35,6400920.0,Isaac Okoro,0,Cleveland Cavaliers,,2.0,2.0,37.5,2.0,4.5,44.4,0.5,2.5,20.0,1.0,1.0,100.0,0.0,3.0,3.0,2.5,0.0,0.5,2.5,2.0,5.5
Cedi Osman,3893016,79.0,230.0,25,SF,16,8840580.0,Cedi Osman,3,Cleveland Cavaliers,,208.0,153.0,24.8,3.6,8.2,43.5,1.4,3.9,36.4,1.1,1.6,71.5,0.5,3.0,3.5,1.9,0.1,0.7,2.1,1.2,9.7
Collin Sexton,4277811,73.0,192.0,21,PG,2,4991880.0,Collin Sexton,2,Cleveland Cavaliers,R,153.0,143.0,32.5,7.1,15.7,45.5,1.5,3.7,39.8,3.0,3.6,84.1,0.8,2.2,3.0,3.0,0.1,0.8,2.3,2.3,18.8
Lamar Stevens,4066405,80.0,225.0,23,PF,8,0.0,Lamar Stevens,0,Cleveland Cavaliers,,2.0,0.0,3.5,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Dean Wade,3912848,81.0,219.0,24,PF,32,1517981.0,Dean Wade,1,Cleveland Cavaliers,,17.0,0.0,7.0,0.8,1.4,56.5,0.2,0.6,36.4,0.0,0.1,0.0,0.2,1.2,1.4,0.3,0.3,0.4,0.9,0.4,1.8
Dylan Windler,3906786,78.0,199.0,24,SG,9,2137440.0,Dylan Windler,0,Cleveland Cavaliers,,1.0,0.0,9.0,1.0,5.0,20.0,1.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0
Saddiq Bey,4397136,80.0,215.0,21,SG,41,2689920.0,Saddiq Bey,0,Detroit Pistons,,5.0,2.0,20.2,2.6,7.8,33.3,2.4,5.0,48.0,1.2,2.0,60.0,0.4,4.0,4.4,0.8,0.0,0.6,1.6,0.6,8.8
Sekou Doumbouya,4423314,80.0,230.0,20,SF,45,3449400.0,Sekou Doumbouya,1,Detroit Pistons,,44.0,19.0,18.7,2.3,6.0,38.5,0.7,2.4,29.2,0.8,1.2,68.6,0.6,2.5,3.1,0.5,0.2,0.5,1.9,0.8,6.1
Wayne Ellington,3981,76.0,207.0,33,SG,8,1620564.0,Wayne Ellington,11,Detroit Pistons,,682.0,166.0,21.0,2.9,7.1,40.8,1.5,4.0,37.8,0.7,0.8,84.6,0.3,1.9,2.2,1.1,0.1,0.5,1.2,0.7,8.0
Jerami Grant,2991070,80.0,210.0,26,PF,9,19050000.0,Jerami Grant,6,Detroit Pistons,,460.0,175.0,24.7,3.3,7.2,46.4,0.8,2.4,34.6,2.0,2.9,67.3,0.9,2.9,3.9,1.1,1.1,0.6,2.3,0.9,9.5
Blake Griffin,3989,82.0,250.0,31,PF,23,36810996.0,Blake Griffin,10,Detroit Pistons,,626.0,626.0,34.8,8.1,16.3,49.8,0.7,2.0,33.4,4.8,6.9,69.4,2.1,6.7,8.8,4.4,0.5,0.9,2.8,2.6,21.6
Killian Hayes,4683024,77.0,216.0,19,PG,7,5307120.0,Killian Hayes,0,Detroit Pistons,,6.0,6.0,22.3,1.7,6.5,25.6,0.7,2.8,23.5,0.2,0.3,50.0,0.2,1.2,1.3,4.0,0.0,0.3,2.3,2.3,4.2
Frank Jackson,4065651,75.0,205.0,22,PG,5,,Frank Jackson,2,Detroit Pistons,,120.0,18.0,16.4,2.7,6.5,42.2,0.8,2.6,31.9,0.9,1.2,74.3,0.4,1.4,1.8,1.1,0.1,0.4,1.4,0.8,7.2
Josh Jackson,4066297,80.0,207.0,23,SF,20,4767000.0,Josh Jackson,3,Detroit Pistons,,184.0,68.0,24.3,4.6,10.9,42.0,0.9,3.0,29.8,2.0,3.0,65.5,1.0,3.3,4.3,1.9,0.6,1.0,2.6,1.9,12.0
Saben Lee,4278124,74.0,183.0,21,PG,38,0.0,Saben Lee,0,Detroit Pistons,,,,,,,,,,,,,,,,,,,,,,
Rodney McGruder,2488826,76.0,205.0,29,SG,17,5192307.0,Rodney McGruder,4,Detroit Pistons,,218.0,116.0,21.5,2.2,5.4,41.2,0.9,2.6,33.6,0.5,0.8,64.3,0.9,2.2,3.1,1.3,0.2,0.5,1.6,0.7,5.9
Svi Mykhailiuk,3133602,80.0,205.0,23,SG,19,1663861.0,Svi Mykhailiuk,2,Detroit Pistons,,104.0,27.0,17.3,2.2,5.6,38.8,1.5,3.9,37.7,0.7,0.9,78.4,0.3,1.2,1.5,1.4,0.0,0.6,1.1,0.8,6.6
Jahlil Okafor,3135048,83.0,275.0,25,C,13,1882867.0,Jahlil Okafor,5,Detroit Pistons,,223.0,114.0,20.3,4.7,8.6,53.9,0.0,0.1,22.2,1.6,2.4,67.5,1.6,3.4,5.0,1.0,0.9,0.3,2.2,1.5,10.9
Mason Plumlee,2488653,83.0,254.0,30,C,24,8000000.0,Mason Plumlee,7,Detroit Pistons,,538.0,263.0,21.7,3.3,5.7,57.5,0.0,0.1,5.9,1.8,3.2,56.4,2.0,4.3,6.2,2.2,0.9,0.8,2.7,1.5,8.3
Derrick Rose,3456,75.0,200.0,32,PG,25,7682927.0,Derrick Rose,11,Detroit Pistons,,601.0,504.0,32.5,7.3,16.1,45.6,0.8,2.6,30.4,3.3,4.0,82.6,0.8,2.6,3.4,5.6,0.3,0.8,1.3,2.7,18.7
Deividas Sirvydis,4423883,80.0,190.0,20,SG,91,898310.0,Deividas Sirvydis,0,Detroit Pistons,,,,,,,,,,,,,,,,,,,,,,
Isaiah Stewart,4432810,81.0,250.0,19,C,28,3121080.0,Isaiah Stewart,0,Detroit Pistons,,4.0,0.0,17.8,2.0,4.3,47.1,0.0,0.0,0.0,0.5,0.8,66.7,3.5,2.3,5.8,0.8,1.0,0.0,2.8,0.5,4.5
Delon Wright,3064447,77.0,185.0,28,PG,55,9000000.0,Delon Wright,5,Detroit Pistons,,277.0,25.0,20.0,2.6,5.9,45.0,0.6,1.8,34.5,1.4,1.7,79.2,0.8,2.3,3.1,2.9,0.4,1.0,1.2,1.0,7.3
Goga Bitadze,4348700,83.0,245.0,21,C,88,2957520.0,Goga Bitadze,1,Indiana Pacers,,54.0,2.0,8.7,1.3,2.8,46.7,0.1,0.8,19.0,0.4,0.6,72.7,0.5,1.5,2.0,0.4,0.7,0.2,1.2,0.5,3.2
Malcolm Brogdon,2566769,77.0,229.0,28,PG,7,20700000.0,Malcolm Brogdon,4,Indiana Pacers,,247.0,172.0,28.9,5.2,11.0,47.3,1.4,3.5,38.8,2.0,2.3,89.4,0.7,3.1,3.8,4.4,0.2,0.9,1.9,1.7,13.8
Aaron Holiday,3922230,73.0,185.0,24,PG,3,2345640.0,Aaron Holiday,2,Indiana Pacers,B,122.0,36.0,19.5,2.9,7.1,40.9,1.1,3.0,36.8,1.0,1.1,83.5,0.2,1.7,1.9,2.6,0.3,0.7,1.7,1.1,7.8
Justin Holiday,2284101,78.0,181.0,31,SG,8,5720000.0,Justin Holiday,7,Indiana Pacers,,436.0,168.0,23.1,2.9,7.2,39.8,1.5,4.1,36.0,1.0,1.2,82.5,0.4,2.5,2.9,1.4,0.4,1.0,1.6,0.9,8.2
Jeremy Lamb,6603,77.0,185.0,28,SG,26,10500000.0,Jeremy Lamb,8,Indiana Pacers,,481.0,128.0,21.2,3.9,8.8,44.4,1.0,3.0,33.9,1.6,1.9,85.1,0.5,3.2,3.7,1.6,0.4,0.7,1.6,0.8,10.5
Jalen Lecque,4423887,75.0,185.0,20,PG,0,1517981.0,Jalen Lecque,1,Indiana Pacers,,7.0,0.0,5.1,0.7,1.7,41.7,0.0,0.6,0.0,0.4,0.4,100.0,0.1,0.6,0.7,0.4,0.0,0.0,0.4,0.3,1.9
Kelan Martin,3133596,77.0,230.0,25,SG,21,1445697.0,Kelan Martin,1,Indiana Pacers,,34.0,4.0,15.1,2.1,5.6,38.1,0.7,2.9,25.3,0.9,0.9,96.8,0.4,2.5,2.9,0.7,0.3,0.3,1.6,0.6,5.9
Doug McDermott,2528588,80.0,225.0,28,SF,20,7333333.0,Doug McDermott,6,Indiana Pacers,,416.0,14.0,20.0,3.1,6.7,46.4,1.2,3.0,40.9,0.8,1.0,81.9,0.4,1.9,2.2,0.8,0.1,0.2,1.4,0.6,8.3
Victor Oladipo,2527963,76.0,210.0,28,SG,4,21000000.0,Victor Oladipo,7,Indiana Pacers,,426.0,366.0,33.0,6.4,14.5,44.1,1.6,4.4,35.1,3.0,3.8,79.4,0.6,4.0,4.6,3.9,0.5,1.6,2.4,2.6,17.4
Domantas Sabonis,3155942,83.0,240.0,24,PF,11,19800000.0,Domantas Sabonis,4,Indiana Pacers,,297.0,158.0,25.8,4.9,9.3,52.3,0.3,1.0,33.3,2.2,3.1,72.0,2.0,6.0,8.0,2.7,0.4,0.6,3.0,1.9,12.3
JaKarr Sampson,2608891,81.0,214.0,27,SF,14,1620564.0,JaKarr Sampson,5,Indiana Pacers,,209.0,90.0,15.5,2.0,4.4,46.8,0.3,1.1,25.1,0.9,1.3,67.1,0.6,2.0,2.6,0.8,0.5,0.4,1.9,0.8,5.3
Cassius Stanley,4431686,78.0,193.0,21,SG,2,0.0,Cassius Stanley,0,Indiana Pacers,R,2.0,0.0,2.0,1.0,1.5,66.7,0.5,0.5,100.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.5,2.5
Edmond Sumner,3136485,78.0,196.0,25,PG,5,2160000.0,Edmond Sumner,3,Indiana Pacers,,56.0,5.0,11.8,1.5,3.7,40.6,0.4,1.4,26.2,0.6,0.9,58.5,0.4,0.9,1.3,1.2,0.3,0.5,1.3,0.6,3.9
Myles Turner,3133628,83.0,250.0,24,PF,33,18000000.0,Myles Turner,5,Indiana Pacers,,348.0,315.0,28.4,4.9,10.0,48.8,0.8,2.2,35.1,2.2,2.9,77.0,1.4,5.2,6.6,1.2,2.1,0.7,2.8,1.3,12.7
Jaylen Adams,3133874,74.0,191.0,24,PG,6,1416852.0,Jaylen Adams,1,Milwaukee Bucks,,34.0,1.0,12.6,1.1,3.2,34.5,0.7,2.2,33.8,0.2,0.3,77.8,0.3,1.4,1.8,1.9,0.1,0.4,1.3,0.8,3.2
Giannis Antetokounmpo,3032977,83.0,250.0,26,PF,34,27528090.0,Giannis Antetokounmpo,7,Milwaukee Bucks,,534.0,469.0,32.4,7.3,14.0,52.6,0.6,2.1,28.3,4.8,6.7,72.0,1.7,7.2,8.9,4.3,1.3,1.2,3.0,2.8,20.1
Thanasis Antetokounmpo,3102533,78.0,228.0,28,SF,43,1701593.0,Thanasis Antetokounmpo,2,Milwaukee Bucks,,27.0,2.0,7.3,1.2,2.3,52.4,0.0,0.6,6.7,0.3,0.6,41.2,0.6,0.7,1.3,0.8,0.1,0.3,1.1,0.7,2.7
Pat Connaughton,2578239,77.0,211.0,27,SG,24,4938272.0,Pat Connaughton,5,Milwaukee Bucks,,289.0,12.0,15.8,1.8,4.1,44.4,0.8,2.2,34.9,0.4,0.5,79.3,0.6,2.2,2.8,1.3,0.3,0.3,1.1,0.5,4.8
Torrey Craig,2528693,79.0,225.0,30,SF,3,1620564.0,Torrey Craig,3,Milwaukee Bucks,B,174.0,69.0,18.5,2.0,4.4,45.0,0.7,2.2,32.0,0.5,0.8,66.0,1.1,2.2,3.4,0.8,0.6,0.4,2.2,0.5,5.2
Donte DiVincenzo,3934673,76.0,207.0,23,SG,0,3044160.0,Donte DiVincenzo,2,Milwaukee Bucks,,99.0,30.0,20.9,3.2,6.9,45.4,1.3,3.6,34.4,0.7,1.0,73.3,0.9,3.2,4.1,1.9,0.3,1.1,1.6,1.2,8.3
Mamadi Diakite,3947156,81.0,218.0,23,PF,25,0.0,Mamadi Diakite,0,Milwaukee Bucks,,,,,,,,,,,,,,,,,,,,,,
Bryn Forbes,2994526,74.0,207.0,27,SG,7,2337145.0,Bryn Forbes,4,Milwaukee Bucks,,267.0,155.0,21.6,3.2,7.5,43.2,1.6,4.1,40.1,0.7,0.9,79.7,0.2,1.7,1.9,1.5,0.0,0.4,1.5,0.7,8.9
Jrue Holiday,3995,75.0,229.0,30,SG,21,26231111.0,Jrue Holiday,11,Milwaukee Bucks,,719.0,646.0,33.2,6.3,13.8,45.3,1.3,3.7,35.5,2.0,2.6,77.8,0.9,3.0,3.9,6.4,0.5,1.5,2.3,2.7,15.9
Brook Lopez,3448,84.0,282.0,32,C,11,12697674.0,Brook Lopez,12,Milwaukee Bucks,,791.0,752.0,30.5,6.4,13.0,49.4,0.7,2.0,34.1,3.3,4.1,79.4,2.1,4.3,6.4,1.5,1.8,0.6,2.7,1.8,16.8
Sam Merrill,4066757,76.0,197.0,24,F,15,898310.0,Sam Merrill,0,Milwaukee Bucks,,5.0,0.0,7.8,0.8,1.4,57.1,0.8,1.0,80.0,0.0,0.0,0.0,0.6,1.2,1.8,1.4,0.0,0.2,0.4,0.6,2.4
Khris Middleton,6609,79.0,217.0,29,SF,22,33051724.0,Khris Middleton,8,Milwaukee Bucks,,523.0,448.0,31.5,6.0,13.0,45.9,1.8,4.5,39.3,2.7,3.0,87.8,0.6,4.1,4.7,3.4,0.2,1.2,2.6,1.9,16.4
Jordan Nwora,4277883,80.0,226.0,22,SF,13,898310.0,Jordan Nwora,0,Milwaukee Bucks,,4.0,0.0,9.8,2.5,5.8,43.5,1.0,2.3,44.4,1.8,2.0,87.5,0.0,2.0,2.0,0.0,0.0,0.8,1.3,1.0,7.8
Bobby Portis,3064482,82.0,258.0,25,PF,9,3623000.0,Bobby Portis,5,Milwaukee Bucks,,321.0,54.0,20.5,4.1,9.0,45.7,0.9,2.4,36.1,1.1,1.5,75.6,1.7,4.2,6.0,1.2,0.3,0.5,1.8,1.1,10.2
Will Barton,6579,77.0,181.0,29,SG,5,13723214.0,Will Barton,8,Denver Nuggets,,502.0,163.0,24.5,4.1,9.5,43.3,1.2,3.3,34.7,1.7,2.2,78.4,0.8,3.5,4.2,2.5,0.4,0.7,1.6,1.4,11.1
Bol Bol,4397102,86.0,209.0,21,C,10,2058240.0,Bol Bol,1,Denver Nuggets,,10.0,0.0,10.1,1.4,3.2,43.8,0.4,1.1,36.4,0.8,1.0,80.0,0.5,1.5,2.0,0.6,0.7,0.2,1.3,1.0,4.0
Facundo Campazzo,2968334,71.0,165.0,29,PG,7,3200000.0,Facundo Campazzo,0,Denver Nuggets,,6.0,0.0,9.2,1.0,2.2,46.2,1.0,1.8,54.5,0.8,1.0,83.3,0.0,0.8,0.8,1.2,0.2,0.8,1.3,1.0,3.8
Vlatko Cancar,4230557,80.0,236.0,23,SF,31,1517981.0,Vlatko Cancar,1,Denver Nuggets,,16.0,0.0,3.1,0.4,1.0,37.5,0.1,0.4,16.7,0.3,0.3,100.0,0.3,0.3,0.6,0.2,0.1,0.1,0.4,0.3,1.1
PJ Dozier,3923250,78.0,205.0,24,PG,35,1762796.0,PJ Dozier,3,Denver Nuggets,,43.0,0.0,13.5,2.1,5.0,41.6,0.5,1.6,34.3,0.6,0.8,72.2,0.6,1.7,2.3,1.7,0.3,0.4,1.2,0.7,5.3
Gary Harris,2999547,76.0,205.0,26,SG,14,19610714.0,Gary Harris,6,Denver Nuggets,,374.0,312.0,29.0,4.5,10.0,45.3,1.5,4.1,35.7,1.5,1.9,80.3,0.6,2.0,2.6,2.1,0.2,1.2,1.8,1.2,12.0
Isaiah Hartenstein,4222252,84.0,249.0,22,C,25,1620564.0,Isaiah Hartenstein,2,Denver Nuggets,,56.0,2.0,9.5,1.3,2.3,57.7,0.0,0.2,18.2,0.6,0.9,67.3,1.1,1.7,2.8,0.6,0.5,0.3,1.9,0.6,3.3
Markus Howard,4065805,71.0,180.0,21,PG,00,0.0,Markus Howard,0,Denver Nuggets,,3.0,0.0,0.7,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nikola Jokic,3112335,84.0,284.0,25,C,15,29542010.0,Nikola Jokic,5,Denver Nuggets,,387.0,346.0,29.1,6.6,12.5,52.6,0.9,2.7,33.9,3.0,3.7,82.6,2.6,7.0,9.6,5.6,0.7,1.1,2.9,2.6,17.0
Paul Millsap,3015,79.0,257.0,35,PF,4,1000000.0,Paul Millsap,14,Denver Nuggets,,1002.0,715.0,29.1,5.2,10.7,49.1,0.5,1.4,34.6,3.0,4.1,73.6,2.2,5.1,7.3,2.3,1.0,1.3,3.1,1.8,14.0
Monte Morris,3059310,74.0,183.0,25,PG,11,1588231.0,Monte Morris,3,Denver Nuggets,,164.0,19.0,23.2,3.9,8.1,48.0,1.0,2.6,39.5,0.9,1.2,82.0,0.4,1.7,2.1,3.5,0.1,0.8,1.1,0.7,9.7
Jamal Murray,3936299,76.0,215.0,23,PG,27,27285000.0,Jamal Murray,4,Denver Nuggets,,302.0,227.0,29.3,5.8,13.1,44.0,1.9,5.1,35.9,2.3,2.7,87.5,0.8,2.8,3.6,3.7,0.3,0.9,1.9,1.9,15.7
Zeke Nnaji,4431690,83.0,240.0,19,PF,22,2284800.0,Zeke Nnaji,0,Denver Nuggets,,3.0,0.0,1.7,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
Malik Beasley,3907822,76.0,196.0,24,SG,5,13425895.0,Malik Beasley,4,Minnesota Timberwolves,,226.0,39.0,17.8,3.2,7.1,45.0,1.4,3.7,38.6,0.7,0.9,80.8,0.3,1.7,2.1,1.0,0.1,0.5,1.1,0.7,8.5
Jarrett Culver,4277928,78.0,200.0,21,SG,23,6104280.0,Jarrett Culver,1,Minnesota Timberwolves,,69.0,38.0,23.9,3.7,9.0,40.6,1.0,3.4,29.5,0.9,1.9,47.7,1.2,2.4,3.6,1.6,0.6,0.9,2.0,1.3,9.2
Ed Davis,4259,81.0,222.0,31,F,17,5005350.0,Ed Davis,10,Minnesota Timberwolves,,673.0,97.0,19.8,2.6,4.6,56.7,0.0,0.0,0.0,1.1,1.9,58.3,2.3,4.3,6.6,0.8,0.8,0.5,2.5,0.8,6.3
Anthony Edwards,4594268,77.0,229.0,19,SG,1,9757440.0,Anthony Edwards,0,Minnesota Timberwolves,L,6.0,0.0,25.0,5.3,12.5,42.7,1.8,5.8,31.4,1.2,1.7,70.0,0.7,1.3,2.0,2.2,0.3,0.7,1.8,1.3,13.7
Ashton Hagans,4395722,75.0,193.0,21,PG,22,0.0,Ashton Hagans,0,Minnesota Timberwolves,,,,,,,,,,,,,,,,,,,,,,
